For experiment #137: Vertices = 56, and for Density = 0.71, Time Taken: 0.000000 milliseconds
For experiment #138: Vertices = 2, and for Density = 0.77, Time Taken: 0.000000 milliseconds
For experiment #139: Vertices = 87, and for Density = 0.76, Time Taken: 0.000000 milliseconds
For experiment #140: Vertices = 99, and for Density = 0.44, Time Taken: 0.000000 milliseconds
For experiment #141: Vertices = 80, and for Density = 0.20, Time Taken: 0.000000 milliseconds
For experiment #142: Vertices = 37, and for Density = 0.92, Time Taken: 0.000000 milliseconds
For experiment #143: Vertices = 74, and for Density = 0.66, Time Taken: 0.000000 milliseconds
For experiment #144: Vertices = 100, and for Density = 0.60, Time Taken: 0.000000 milliseconds
For experiment #145: Vertices = 55, and for Density = 0.97, Time Taken: 0.000000 milliseconds
For experiment #146: Vertices = 62, and for Density = 0.51, Time Taken: 0.000000 milliseconds
For experiment #147: Vertices = 56, and for Density = 0.70, Time Taken: 0.000000 milliseconds
For experiment #148: Vertices = 4, and for Density = 0.64, Time Taken: 0.000000 milliseconds
For experiment #149: Vertices = 87, and for Density = 0.48, Time Taken: 0.000000 milliseconds
For experiment #150: Vertices = 90, and for Density = 0.95, Time Taken: 0.000000 milliseconds
For experiment #151: Vertices = 38, and for Density = 0.86, Time Taken: 0.000000 milliseconds
For experiment #152: Vertices = 6, and for Density = 0.86, Time Taken: 0.000000 milliseconds
For experiment #153: Vertices = 45, and for Density = 0.87, Time Taken: 0.000000 milliseconds
For experiment #154: Vertices = 33, and for Density = 0.69, Time Taken: 0.000000 milliseconds
For experiment #155: Vertices = 30, and for Density = 0.20, Time Taken: 0.000000 milliseconds
For experiment #156: Vertices = 51, and for Density = 0.89, Time Taken: 0.000000 milliseconds
For experiment #157: Vertices = 14, and for Density = 0.55, Time Taken: 0.000000 milliseconds
For experiment #158: Vertices = 76, and for Density = 0.13, Time Taken: 0.000000 milliseconds
For experiment #159: Vertices = 86, and for Density = 0.30, Time Taken: 0.000000 milliseconds
For experiment #160: Vertices = 33, and for Density = 0.41, Time Taken: 0.000000 milliseconds
For experiment #161: Vertices = 9, and for Density = 0.68, Time Taken: 0.000000 milliseconds
For experiment #162: Vertices = 76, and for Density = 0.58, Time Taken: 0.000000 milliseconds
For experiment #163: Vertices = 10, and for Density = 0.54, Time Taken: 0.000000 milliseconds
For experiment #164: Vertices = 1, and for Density = 0.31, Time Taken: 0.000000 milliseconds
For experiment #165: Vertices = 39, and for Density = 0.89, Time Taken: 0.000000 milliseconds
For experiment #166: Vertices = 20, and for Density = 0.19, Time Taken: 0.000000 milliseconds
For experiment #167: Vertices = 65, and for Density = 0.70, Time Taken: 0.000000 milliseconds
For experiment #168: Vertices = 91, and for Density = 0.88, Time Taken: 0.000000 milliseconds
For experiment #169: Vertices = 85, and for Density = 0.37, Time Taken: 0.001002 milliseconds
For experiment #170: Vertices = 22, and for Density = 0.73, Time Taken: 0.000000 milliseconds
For experiment #171: Vertices = 11, and for Density = 0.21, Time Taken: 0.000000 milliseconds
For experiment #172: Vertices = 51, and for Density = 0.28, Time Taken: 0.000000 milliseconds
For experiment #173: Vertices = 77, and for Density = 0.44, Time Taken: 0.000000 milliseconds
